date,n,ct
2012-04-03,107,33726
2012-04-04,98,33824
2012-04-05,78,33902
2012-04-06,96,33998
2012-04-07,114,34112
2012-04-08,80,34192
2012-04-09,113,34305
2012-04-10,131,34436
2012-04-11,103,34539
2012-04-12,189,34728
2012-04-13,147,34875
2012-04-14,105,34980
2012-04-15,207,35187
2012-04-16,282,35469
2012-04-17,178,35647
2012-04-18,132,35779
2012-04-19,93,35872
2012-04-20,111,35983
2012-04-21,72,36055
2012-04-22,124,36179
2012-04-23,117,36296
2012-04-24,94,36390
2012-04-25,105,36495
2012-04-26,108,36603
2012-04-27,170,36773
2012-04-28,236,37009
2012-04-29,85,37094
2012-04-30,94,37188
2012-05-01,91,37279
2012-05-02,103,37382
2012-05-03,109,37491
2012-05-04,90,37581
2012-05-05,65,37646
2012-05-06,57,37703
2012-05-07,82,37785
2012-05-08,111,37896
2012-05-09,102,37998
2012-05-10,80,38078
2012-05-11,62,38140
2012-05-12,67,38207
2012-05-13,73,38280
2012-05-14,87,38367
2012-05-15,105,38472
2012-05-16,72,38544
2012-05-17,58,38602
2012-05-18,62,38664
2012-05-19,74,38738
2012-05-20,63,38801
2012-05-21,87,38888
2012-05-22,73,38961
2012-05-23,96,39057
2012-05-24,68,39125
2012-05-25,79,39204
2012-05-26,39,39243
2012-05-27,36,39279
2012-05-28,60,39339
2012-05-29,57,39396
2012-05-30,83,39479
2012-05-31,96,39575
2012-06-01,95,39670
2012-06-02,39,39709
2012-06-03,38,39747
2012-06-04,53,39800
2012-06-05,295,40095
2012-06-06,417,40512
2012-06-07,186,40698
2012-06-08,131,40829
2012-06-09,88,40917
2012-06-10,145,41062
2012-06-11,209,41271
2012-06-12,142,41413
2012-06-13,116,41529
2012-06-14,138,41667
2012-06-15,115,41782
2012-06-16,50,41832
2012-06-17,120,41952
2012-06-18,142,42094
2012-06-19,163,42257
2012-06-20,167,42424
2012-06-21,140,42564
2012-06-22,95,42659
2012-06-23,79,42738
2012-06-24,76,42814
2012-06-25,93,42907
2012-06-26,94,43001
2012-06-27,97,43098
2012-06-28,102,43200
2012-06-29,110,43310
2012-06-30,81,43391
2012-07-01,49,43440
2012-07-02,114,43554
2012-07-03,130,43684
2012-07-04,103,43787
2012-07-05,110,43897
2012-07-06,96,43993
2012-07-07,86,44079
2012-07-08,98,44177
2012-07-09,119,44296
2012-07-10,127,44423
2012-07-11,112,44535
2012-07-12,77,44612
2012-07-13,98,44710
2012-07-14,97,44807
2012-07-15,68,44875
2012-07-16,112,44987
2012-07-17,101,45088
2012-07-18,83,45171
2012-07-19,103,45274
2012-07-20,128,45402
2012-07-21,134,45536
2012-07-22,82,45618
2012-07-23,135,45753
2012-07-24,105,45858
2012-07-25,84,45942
2012-07-26,84,46026
2012-07-27,60,46086
2012-07-28,35,46121
2012-07-29,41,46162
2012-07-30,58,46220
2012-07-31,74,46294
2012-08-01,90,46384
2012-08-02,83,46467
2012-08-03,85,46552
2012-08-04,34,46586
2012-08-05,42,46628
2012-08-06,79,46707
2012-08-07,85,46792
2012-08-08,74,46866
2012-08-09,88,46954
2012-08-10,113,47067
2012-08-11,44,47111
2012-08-12,55,47166
2012-08-13,92,47258
2012-08-14,97,47355
2012-08-15,103,47458
2012-08-16,66,47524
2012-08-17,87,47611
2012-08-18,63,47674
2012-08-19,50,47724
2012-08-20,117,47841
2012-08-21,510,48351
2012-08-22,670,49021
2012-08-23,346,49367
2012-08-24,258,49625
2012-08-25,180,49805
2012-08-26,185,49990
2012-08-27,420,50410
2012-08-28,205,50615
2012-08-29,189,50804
2012-08-30,156,50960
2012-08-31,135,51095
2012-09-01,128,51223
2012-09-02,116,51339
2012-09-03,147,51486
2012-09-04,167,51653
2012-09-05,157,51810
2012-09-06,143,51953
2012-09-07,124,52077
2012-09-08,74,52151
2012-09-09,108,52259
2012-09-10,99,52358
2012-09-11,134,52492
2012-09-12,173,52665
2012-09-13,166,52831
2012-09-14,132,52963
2012-09-15,76,53039
2012-09-16,82,53121
2012-09-17,129,53250
2012-09-18,116,53366
2012-09-19,140,53506
2012-09-20,123,53629
2012-09-21,119,53748
2012-09-22,86,53834
2012-09-23,121,53955
2012-09-24,142,54097
2012-09-25,177,54274
2012-09-26,136,54410
2012-09-27,158,54568
2012-09-28,117,54685
2012-09-29,144,54829
2012-09-30,125,54954
2012-10-01,171,55125
2012-10-02,145,55270
2012-10-03,214,55484
2012-10-04,190,55674
2012-10-05,146,55820
2012-10-06,114,55934
2012-10-07,99,56033
2012-10-08,123,56156
2012-10-09,147,56303
2012-10-10,171,56474
2012-10-11,206,56680
2012-10-12,140,56820
2012-10-13,91,56911
2012-10-14,103,57014
2012-10-15,230,57244
2012-10-16,234,57478
2012-10-17,206,57684
2012-10-18,202,57886
2012-10-19,193,58079
2012-10-20,101,58180
2012-10-21,137,58317
2012-10-22,164,58481
2012-10-23,196,58677
2012-10-24,489,59166
2012-10-25,318,59484
2012-10-26,217,59701
2012-10-27,145,59846
2012-10-28,115,59961
2012-10-29,174,60135
2012-10-30,193,60328
2012-10-31,201,60529
2012-11-01,200,60729
2012-11-02,165,60894
2012-11-03,130,61024
2012-11-04,155,61179
2012-11-05,243,61422
2012-11-06,244,61666
2012-11-07,180,61846
2012-11-08,198,62044
